repo_id,repo_name,owner_type,language,stars,forks,open_issues,watchers,size_kb,created_year,created_month,license,has_wiki,topic
1,pandas-utils,org,Python,17022,2277,153,17600,14958,2022,4,BSD-3-Clause,true,data
2,fastapi-boilerplate,org,Python,38745,7201,318,37249,16863,2022,9,BSD-3-Clause,false,api
3,ml-pipeline-tools,user,Python,21746,1873,155,19709,22779,2018,3,BSD-3-Clause,true,ml
4,pytorch-tutorials,org,Python,100760,18250,646,106987,27236,2022,1,MIT,true,ml
5,django-rest-starter,user,Python,9903,1560,44,9514,62814,2025,7,Apache-2.0,false,web
6,scrapy-spiders-collection,user,Python,466,74,4,484,78875,2018,12,GPL-3.0,true,data
7,jupyter-notebook-extensions,user,Python,7218,591,40,7192,52060,2026,1,BSD-3-Clause,true,data
8,python-algorithms-handbook,org,Python,164790,16735,1095,175399,10356,2026,7,None,true,cli
9,flask-microservices-template,org,Python,11739,1779,62,12278,25177,2022,11,BSD-3-Clause,true,api
10,data-cleaning-toolkit,org,Python,13637,1983,69,12548,59258,2020,10,None,false,data
11,sklearn-pipeline-utils,org,Python,70207,6712,689,65691,60337,2024,3,GPL-3.0,false,ml
12,async-http-client-py,org,Python,11718,1228,87,12625,27823,2025,5,MIT,true,api
13,python-design-patterns,user,Python,25523,4300,190,27442,77205,2019,8,GPL-3.0,false,cli
14,crypto-price-analyzer,org,Python,19111,3153,96,18253,28690,2018,3,None,true,data
15,langchain-examples,user,Python,34012,3418,236,32601,33618,2021,6,BSD-3-Clause,false,ml
16,fastai-practical-notebooks,user,Python,74260,8858,480,75907,46495,2023,3,Apache-2.0,false,ml
17,data-viz-templates,user,Python,18385,1958,77,19102,26791,2019,4,MIT,true,data
18,pytest-advanced-fixtures,org,Python,2459,309,20,2662,69017,2021,2,None,true,devtools
19,image-processing-pipeline,org,Python,22890,3068,92,23434,68669,2019,5,GPL-3.0,true,ml
20,openai-python-cookbook,org,Python,72271,13094,593,65818,6005,2019,7,BSD-3-Clause,true,ml
21,rich-cli-dashboard,user,Python,21319,3321,189,22824,50996,2021,6,None,true,cli
22,pdf-text-extractor,org,Python,23750,3684,126,25387,12987,2021,1,MIT,true,data
23,time-series-toolkit,org,Python,24118,4475,151,25119,12440,2020,2,MIT,false,data
24,db-migration-helper,org,Python,2886,479,25,3050,16750,2023,7,GPL-3.0,true,devtools
25,numpy-visual-guide,org,Python,48377,5797,249,44968,42950,2020,7,GPL-3.0,true,data
26,api-rate-limiter-py,org,Python,7696,619,31,8378,6002,2025,6,GPL-3.0,false,api
27,docker-compose-generator,org,Python,6134,764,28,6383,47997,2018,12,BSD-3-Clause,true,cloud
28,security-vulnerability-scanner,org,Python,15976,2821,107,14943,6748,2018,1,Apache-2.0,true,security
29,streamlit-dashboard-examples,org,Python,55855,11014,176,54702,28795,2020,10,GPL-3.0,false,data
30,llm-fine-tuning-recipes,org,Python,77365,8661,513,82936,79513,2024,7,None,false,ml
31,react-component-library,org,JavaScript,66263,9672,518,66982,46466,2026,12,BSD-3-Clause,false,web
