week_type,description,focus_area,first_year
"AI/ML Week","Machine learning, data science, and AI applications","AI & Data",2023
"API Week","APIs, backend services, and third-party integrations","Backend",2023
"Games Week","Game development with web technologies","Creative",2023
"Security Week","Cybersecurity, password management, and secure coding","Security",2023
"Season Launch","Kickoff events that open each GHW season","Community",2023
"Open Source Week","Contributing to and building open-source projects","Community",2023
"Cloud Week","Cloud platforms, deployment, and infrastructure","Cloud",2023
"Social Good","Technology for social impact and community benefit","Social Impact",2023
"Beginners Week","Beginner-friendly tutorials and first projects","Education",2024
"Data Week","Data engineering, analytics, and databases","AI & Data",2024
"Career Week","Career development and professional skills","Career",2024
"GenAI Week","Generative AI tools and creative applications","AI & Data",2025
"Social Good Week","Hacking for social good — community-impact projects","Social Impact",2026
"Agents Week","AI agents, automation, and browser tooling","AI & Data",2026
